team,score,date,time
sample M. Jirik,0.2815533980582524,2014-04-15,13:42:50.240267
sample M. Jirik,0.30097087378640774,2014-04-15,13:43:19.413250
sample M. Jirik,0.23300970873786409,2014-04-15,13:43:32.353484
sample M. Jirik,0.2980769230769231,2014-04-15,19:53:41.919069
cervenym,0.0,2014-04-15,19:53:41.922450
sample M. Jirik,0.2980769230769231,2014-04-16,13:10:01.890976
cervenym,0.0,2014-04-16,13:10:01.894514
sample M. Jirik,0.23300970873786409,2014-04-16,13:17:41.659961
cervenym,0.11650485436893204,2014-04-16,13:17:51.165174
sample M. Jirik,0.25961538461538464,2014-04-16,16:59:59.467758
cervenym,0.07692307692307693,2014-04-16,17:00:09.051018
sample M. Jirik,0.30097087378640774,2014-04-16,17:00:38.734770
cervenym,0.06796116504854369,2014-04-16,17:00:48.068683
sample M. Jirik,0.23926812104152007,2014-04-16,17:03:24.475401
cervenym,0.09817030260380014,2014-04-16,17:07:43.043243
sample M. Jirik,0.2980769230769231,2014-04-16,18:30:11.980713
cervenym,0.10576923076923077,2014-04-16,18:30:21.338506
sample M. Jirik,0.25961538461538464,2014-04-16,21:12:36.170486
cervenym,0.07692307692307693,2014-04-16,21:12:45.661129
sample M. Jirik,0.23300970873786409,2014-04-23,15:36:54.821274
cervenym,0.0,2014-04-23,15:36:54.824382
sample M. Jirik,0.2815533980582524,2014-04-23,15:37:31.588206
cervenym,0.0,2014-04-23,15:37:31.591394
sample M. Jirik,0.2815533980582524,2014-04-23,15:49:24.612530
cervenym,0.0,2014-04-23,15:49:24.615682
sample M. Jirik,0.2980769230769231,2014-04-23,15:51:30.159132
cervenym,0.0,2014-04-23,15:51:30.162919
sample M. Jirik,0.25961538461538464,2014-04-23,15:52:14.911190
cervenym,0.0,2014-04-23,15:52:14.912627
sample M. Jirik,0.25961538461538464,2014-04-23,15:53:39.892102
cervenym,0,2014-04-23,15:53:39.893484
